Organisation Code;Organisation Name;All Procedures - Total HES Procedures;All Procedures - Total Pre-Op Qs;All Procedures - Participation Rate;All Procedures - Total Linked;All Procedures - Linkage rate;All Procedures - Total Q2s sent to date;All Procedures - Issue rate;All Procedures - Total Q2s returned to date;All Procedures - Response rate;Hip Replacement - Total HES Procedures;Hip Replacement - Total Pre-Op Qs;Hip Replacement - Participation Rate;Hip Replacement - Total Linked;Hip Replacement - Linkage rate;Hip Replacement - Total Q2s sent to date;Hip Replacement - Issue rate;Hip Replacement - Total Q2s returned to date;Hip Replacement - Response rate;Primary Hip Replacement - Total HES Procedures;Primary Hip Replacement - Total Pre-Op Qs;Primary Hip Replacement - Participation Rate;Primary Hip Replacement - Total Linked;Primary Hip Replacement - Linkage rate;Primary Hip Replacement - Total Q2s sent to date;Primary Hip Replacement - Issue rate;Primary Hip Replacement - Total Q2s returned to date;Primary Hip Replacement - Response rate;Revision Hip Replacement - Total HES Procedures;Revision Hip Replacement - Total Pre-Op Qs;Revision Hip Replacement - Participation Rate;Revision Hip Replacement - Total Linked;Revision Hip Replacement - Linkage rate;Revision Hip Replacement - Total Q2s sent to date;Revision Hip Replacement - Issue rate;Revision Hip Replacement - Total Q2s returned to date;Revision Hip Replacement - Response rate;Knee Replacement - Total HES Procedures;Knee Replacement - Total Pre-Op Qs;Knee Replacement - Participation Rate;Knee Replacement - Total Linked;Knee Replacement - Linkage rate;Knee Replacement - Total Q2s sent to date;Knee Replacement - Issue rate;Knee Replacement - Total Q2s returned to date;Knee Replacement - Response rate;Primary Knee Replacement - Total HES Procedures;Primary Knee Replacement - Total Pre-Op Qs;Primary Knee Replacement - Participation Rate;Primary Knee Replacement - Total Linked;Primary Knee Replacement - Linkage rate;Primary Knee Replacement - Total Q2s sent to date;Primary Knee Replacement - Issue rate;Primary Knee Replacement - Total Q2s returned to date;Primary Knee Replacement - Response rate;Revision Knee Replacement - Total HES Procedures;Revision Knee Replacement - Total Pre-Op Qs;Revision Knee Replacement - Participation Rate;Revision Knee Replacement - Total Linked;Revision Knee Replacement - Linkage rate;Revision Knee Replacement - Total Q2s sent to date;Revision Knee Replacement - Issue rate;Revision Knee Replacement - Total Q2s returned to date;Revision Knee Replacement - Response rate;CSVYear
NYW04;ASPEN - CLAREMONT HOSPITAL;215;54;0.2511628;0;0.0;40;0.7407407;40;1.0;96;24;0.25;0;0;16;0.6666667;16;1;*;0;*;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;119;30;0.2521008;0;0;24;0.8;24;1;*;0;0;*;0;0;0;0;0;*;0;*;0;0;0;0;0;0;2017/18
NYW04;ASPEN - CLAREMONT HOSPITAL;182;30;0.1648352;18;0.6;18;0.6;18;1.0;79;20;0.2531646;14;0.7;13;0.65;13;1;*;14;*;14;1;10;0.7142857;10;1;*;0;*;0;0;0;0;0;0;103;10;0.0970874;4;0.4;5;0.5;5;1;*;*;*;*;*;*;*;*;*;*;0;*;0;0;0;0;0;0;2018/19
NYW03;ASPEN - HIGHGATE HOSPITAL;18;0;0.0;0;0.0;0;0.0;0;0.0;9;*;*;0;*;*;*;*;*;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;*;*;0;*;*;*;*;*;*;0;0;*;0;0;0;0;0;*;0;*;0;0;0;0;0;0;2016/17
NYW03;ASPEN - HIGHGATE HOSPITAL;24;0;0.0;0;0.0;0;0.0;0;0.0;10;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;*;*;0;*;*;*;*;*;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2017/18
NYW03;ASPEN - HIGHGATE HOSPITAL;15;28;18.666.667;8;0.2857143;5;0.1785714;5;1.0;*;11;*;3;0.2727273;0;0;0;0;*;*;*;*;*;0;*;0;*;0;0;0;0;0;0;0;0;0;15;17;11.333.333;5;0.2941176;5;0.2941176;5;1;15;*;*;*;*;*;*;*;*;0;0;0;0;0;0;0;0;0;2018/19
NYW02;ASPEN - PARKSIDE HOSPITAL;14;7;0.5;0;0.0;2;0.2857143;2;1.0;14;7;0.5;0;0;2;0.2857143;2;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;*;*;*;0;*;0;*;0;*;*;0;*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2016/17
NYW02;ASPEN - PARKSIDE HOSPITAL;27;0;0.0;0;0.0;0;0.0;0;0.0;20;*;*;0;*;0;*;0;*;*;0;*;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;7;*;*;0;*;*;*;*;*;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2017/18
NYW02;ASPEN - PARKSIDE HOSPITAL;28;0;0.0;0;0.0;0;0.0;0;0.0;17;*;*;*;*;*;*;*;*;17;*;*;*;*;0;*;0;*;0;0;0;0;0;0;0;0;0;11;*;*;*;*;*;*;*;*;11;*;*;*;*;*;*;*;*;0;0;0;0;0;0;0;0;0;2018/19
NYW20;ASPEN - THE CHELMSFORD;0;0;0.0;0;0.0;0;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2016/17
NYW01;ASPEN - THE HOLLY;110;227;20.636.364;0;0.0;81;0.3568282;81;1.0;36;85;23.611.111;0;0;28;0.3294118;28;1;*;0;*;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;74;142;19.189.189;0;0;53;0.3732394;53;1;*;0;0;*;0;0;0;0;0;*;0;*;0;0;0;0;0;0;2016/17
NYW01;ASPEN - THE HOLLY;87;0;0.0;0;0.0;0;0.0;0;0.0;46;0;0;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2017/18
NYW01;ASPEN - THE HOLLY;82;90;1.097.561;29;0.3222222;33;0.3666667;33;1.0;32;35;109.375;8;0.2285714;15;0.4285714;15;1;*;8;*;8;1;3;0.375;3;1;*;0;*;0;0;0;0;0;0;50;55;1.1;21;0.3818182;18;0.3272727;18;1;50;21;0.42;21;1;9;0.4285714;9;1;0;0;0;0;0;0;0;0;0;2018/19
RF4;BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST;654;661;10.107.034;417;0.6308623;606;0.9167927;419;0.6914191;272;231;0.8492647;157;0.6796537;215;0.9307359;152;0.7069767;248;151;0.608871;151;1;145;0.9602649;108;0.7448276;24;6;0.25;6;1;6;1;5;0.8333333;382;430;11.256.545;260;0.6046512;391;0.9093023;267;0.6828645;366;*;*;*;*;*;*;*;*;16;*;*;*;*;*;*;*;*;2016/17
RF4;BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST;587;608;10.357.751;402;0.6611842;545;0.8963816;336;0.6165138;240;236;0.9833333;161;0.6822034;215;0.9110169;141;0.655814;224;154;0.6875;154;1;152;0.987013;101;0.6644737;16;7;0.4375;7;1;6;0.8571429;6;1;347;372;10.720.461;241;0.6478495;330;0.8870968;195;0.5909091;335;*;*;*;*;*;*;*;*;12;*;*;*;*;*;*;*;*;2017/18
RF4;BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST;584;636;10.890.411;419;0.658805;596;0.9371069;292;0.4899329;234;234;1;171;0.7307692;215;0.9188034;125;0.5813953;219;*;*;*;*;*;*;*;*;15;*;*;*;*;*;*;*;*;350;402;11.485.714;248;0.6169154;381;0.9477612;167;0.4383202;339;242;0.7138643;242;1;239;0.9876033;125;0.5230126;11;6;0.5454545;6;1;6;1;2;0.3333333;2018/19
NTP13;BARLBOROUGH NHS TREATMENT CENTRE;1467;1987;13.544.649;1576;0.7931555;1983;0.9979869;1702;0.8582955;661;852;12.889.561;709;0.8321596;850;0.9976526;742;0.8729412;648;697;10.756.173;697;1;697;1;617;0.8852224;13;12;0.9230769;12;1;12;1;10;0.8333333;806;1135;14.081.886;867;0.7638767;1133;0.9982379;960;0.847308;790;848;10.734.177;848;1;848;1;735;0.8667453;16;19;11.875;19;1;19;1;15;0.7894737;2016/17
NTP13;BARLBOROUGH NHS TREATMENT CENTRE;1324;1798;1.358.006;1405;0.7814238;1792;0.996663;1418;0.7912946;558;759;13.602.151;588;0.7747036;756;0.9960474;604;0.7989418;538;566;10.520.446;566;1;566;1;476;0.8409894;20;22;1.1;22;1;22;1;17;0.7727273;766;1039;13.563.969;817;0.786333;1036;0.9971126;814;0.7857143;744;792;10.645.161;792;1;792;1;660;0.8333333;22;25;11.363.636;25;1;25;1;17;0.68;2017/18
NTP13;BARLBOROUGH NHS TREATMENT CENTRE;1187;1744;14.692.502;1267;0.7264908;1741;0.9982798;1335;0.7668007;562;792;14.092.527;586;0.739899;791;0.9987374;613;0.7749684;539;563;10.445.269;563;1;563;1;470;0.8348135;23;23;1;23;1;23;1;15;0.6521739;625;952;15.232;681;0.7153361;950;0.9978992;722;0.76;610;660;10.819.672;660;1;660;1;544;0.8242424;15;21;1.4;21;1;21;1;13;0.6190476;2018/19
RVL;BARNET AND CHASE FARM HOSPITALS NHS TRUST;0;0;0.0;0;0.0;0;0.0;0;0.0;0;*;*;*;*;*;*;*;*;0;*;*;*;*;*;*;0;*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2016/17
RFF;BARNSLEY HOSPITAL NHS FOUNDATION TRUST;637;566;0.88854;511;0.9028269;564;0.9964664;457;0.8102837;222;202;0.9099099;181;0.8960396;201;0.9950495;158;0.7860697;207;169;0.8164251;169;1;168;0.9940828;139;0.827381;15;12;0.8;12;1;12;1;8;0.6666667;415;364;0.8771084;330;0.9065934;363;0.9972527;299;0.8236915;392;319;0.8137755;319;1;318;0.9968652;264;0.8301887;23;11;0.4782609;11;1;11;1;10;0.9090909;2016/17
RFF;BARNSLEY HOSPITAL NHS FOUNDATION TRUST;630;466;0.7396825;413;0.8862661;466;1.0;351;0.7532189;239;176;0.7364017;153;0.8693182;176;1;136;0.7727273;224;145;0.6473214;145;1;145;1;125;0.862069;15;8;0.5333333;8;1;8;1;2;0.25;391;290;0.741688;260;0.8965517;290;1;215;0.7413793;374;248;0.6631016;248;1;248;1;189;0.7620968;17;12;0.7058824;12;1;12;1;10;0.8333333;2017/18
RFF;BARNSLEY HOSPITAL NHS FOUNDATION TRUST;533;292;0.5478424;250;0.8561644;291;0.9965753;217;0.7457045;228;120;0.5263158;102;0.85;120;1;87;0.725;205;95;0.4634146;95;1;95;1;74;0.7789474;23;7;0.3043478;7;1;7;1;6;0.8571429;305;172;0.5639344;148;0.8604651;171;0.994186;130;0.7602339;290;*;*;*;*;*;*;*;*;15;*;*;*;*;*;*;*;*;2018/19
R1H;BARTS HEALTH NHS TRUST;1082;1012;0.935305;831;0.8211462;1007;0.9950593;615;0.6107249;424;375;0.884434;309;0.824;371;0.9893333;225;0.606469;380;287;0.7552632;287;1;286;0.9965157;189;0.6608392;44;22;0.5;22;1;22;1;11;0.5;658;637;0.9680851;522;0.8194662;636;0.9984301;390;0.6132075;602;488;0.8106312;488;1;488;1;322;0.6598361;56;34;0.6071429;34;1;34;1;20;0.5882353;2016/17
R1H;BARTS HEALTH NHS TRUST;992;907;0.9143145;725;0.7993385;872;0.9614112;498;0.5711009;367;331;0.9019074;265;0.8006042;318;0.9607251;187;0.5880503;318;244;0.7672956;244;1;240;0.9836066;152;0.6333333;49;21;0.4285714;21;1;21;1;10;0.4761905;625;576;0.9216;460;0.7986111;554;0.9618056;311;0.5613718;581;438;0.7538726;438;1;432;0.9863014;264;0.6111111;44;22;0.5;22;1;22;1;17;0.7727273;2017/18
R1H;BARTS HEALTH NHS TRUST;982;982;1.0;741;0.7545825;944;0.9613035;488;0.5169492;369;361;0.9783198;270;0.7479224;349;0.966759;192;0.5501433;332;251;0.7560241;251;1;249;0.9920319;161;0.6465863;37;19;0.5135135;19;1;18;0.9473684;8;0.4444444;613;621;10.130.506;471;0.7584541;595;0.958132;296;0.497479;570;446;0.7824561;446;1;444;0.9955157;252;0.5675676;43;25;0.5813953;25;1;25;1;14;0.56;2018/19
RDD;BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST;476;504;10.588.235;386;0.765873;504;1.0;345;0.6845238;182;196;10.769.231;152;0.7755102;196;1;139;0.7091837;174;145;0.8333333;145;1;145;1;122;0.8413793;8;7;0.875;7;1;7;1;4;0.5714286;294;308;1.047.619;234;0.7597403;308;1;206;0.6688312;273;221;0.8095238;221;1;221;1;174;0.7873303;21;13;0.6190476;13;1;13;1;7;0.5384615;2016/17
RDD;BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST;473;448;0.9471459;333;0.7433036;440;0.9821429;288;0.6545455;192;205;10.677.083;150;0.7317073;201;0.9804878;132;0.6567164;177;139;0.7853107;139;1;138;0.9928058;109;0.7898551;15;11;0.7333333;11;1;11;1;10;0.9090909;281;243;0.8647687;183;0.7530864;239;0.9835391;156;0.6527197;259;172;0.6640927;172;1;172;1;132;0.7674419;22;11;0.5;11;1;11;1;9;0.8181818;2017/18
RDD;BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST;555;485;0.8738739;378;0.7793814;482;0.9938144;310;0.6431535;253;225;0.8893281;173;0.7688889;224;0.9955556;144;0.6428571;227;164;0.722467;164;1;163;0.9939024;120;0.7361963;26;9;0.3461538;9;1;9;1;5;0.5555556;302;260;0.8609272;205;0.7884615;258;0.9923077;166;0.6434109;279;194;0.6953405;194;1;193;0.9948454;144;0.746114;23;11;0.4782609;11;1;11;1;8;0.7272727;2018/19
RC1;BEDFORD HOSPITAL NHS TRUST;427;366;0.8571429;273;0.7459016;364;0.9945355;274;0.7527473;196;169;0.8622449;125;0.739645;168;0.9940828;126;0.75;185;*;*;*;*;*;*;*;*;11;*;*;*;*;*;*;*;*;231;197;0.8528139;148;0.751269;196;0.9949239;148;0.755102;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2016/17
RC1;BEDFORD HOSPITAL NHS TRUST;420;362;0.8619048;264;0.7292818;356;0.9834254;245;0.6882022;201;168;0.8358209;125;0.7440476;164;0.9761905;119;0.7256098;188;*;*;*;*;*;*;*;*;13;*;*;*;*;*;*;*;*;219;194;0.8858447;139;0.7164948;192;0.9896907;126;0.65625;207;*;*;*;*;*;*;*;*;12;*;*;*;*;*;*;*;*;2017/18
RC1;BEDFORD HOSPITAL NHS TRUST;392;233;0.5943878;171;0.7339056;231;0.9914163;161;0.6969697;199;121;0.6080402;93;0.768595;121;1;90;0.7438017;188;*;*;*;*;*;*;*;*;11;*;*;*;*;*;*;*;*;193;112;0.5803109;78;0.6964286;110;0.9821429;71;0.6454545;183;*;*;*;*;*;*;*;*;10;*;*;*;*;*;*;*;*;2018/19
NWF01;BENENDEN HOSPITAL;505;341;0.6752475;262;0.7683284;341;1.0;286;0.8387097;218;126;0.5779817;101;0.8015873;126;1;103;0.8174603;218;101;0.4633028;101;1;101;1;91;0.9009901;0;0;0;0;0;0;0;0;0;287;215;0.7491289;161;0.7488372;215;1;183;0.8511628;287;*;*;*;*;*;*;*;*;0;*;*;*;*;*;*;*;*;2016/17
NWF01;BENENDEN HOSPITAL;542;319;0.5885609;282;0.8840125;317;0.9937304;265;0.8359621;214;124;0.5794393;115;0.9274194;124;1;96;0.7741935;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;328;195;0.5945122;167;0.8564103;193;0.9897436;169;0.8756477;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2017/18
NWF01;BENENDEN HOSPITAL;450;223;0.4955556;195;0.8744395;223;1.0;163;0.7309417;170;93;0.5470588;77;0.827957;93;1;71;0.7634409;170;77;0.4529412;77;1;77;1;62;0.8051948;0;0;0;0;0;0;0;0;0;280;130;0.4642857;118;0.9076923;130;1;92;0.7076923;*;118;0.4259928;*;1;118;1;87;0.7372881;*;0;*;0;0;0;0;0;0;2018/19
NWX11;BICS-COMMUNITY;416;0;0.0;0;0.0;0;0.0;0;0.0;234;0;0;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;182;0;0;0;0;0;0;0;0;*;0;0;*;0;0;0;0;0;*;0;*;0;0;0;0;0;0;2016/17
NWX11;BICS-COMMUNITY;427;0;0.0;0;0.0;0;0.0;0;0.0;239;0;0;0;0;0;0;0;0;231;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;188;0;0;0;0;0;0;0;0;*;0;0;*;0;0;0;0;0;*;0;*;0;0;0;0;0;0;2017/18
NWX11;BICS-COMMUNITY;343;0;0.0;0;0.0;0;0.0;0;0.0;182;0;0;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;161;0;0;0;0;0;0;0;0;*;0;0;*;0;0;0;0;0;*;0;*;0;0;0;0;0;0;2018/19
RQ3;BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST;0;0;0.0;0;0.0;0;0.0;0;0.0;*;0;*;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018/19
RXL;BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST;553;299;0.5406872;225;0.7525084;283;0.9464883;229;0.8091873;262;138;0.5267176;103;0.7463768;132;0.9565217;107;0.8106061;253;*;*;*;*;*;*;*;*;9;*;*;*;*;*;*;*;*;291;161;0.5532646;122;0.757764;151;0.9378882;122;0.807947;280;*;*;*;*;*;*;*;*;11;*;*;*;*;*;*;*;*;2016/17
RXL;BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST;493;328;0.6653144;269;0.820122;325;0.9908537;257;0.7907692;204;169;0.8284314;147;0.8698225;169;1;138;0.816568;198;*;*;*;*;*;*;*;*;6;*;*;*;*;*;*;*;*;289;159;0.550173;122;0.7672956;156;0.9811321;119;0.7628205;278;*;*;*;*;*;*;*;*;11;*;*;*;*;*;*;*;*;2017/18
RXL;BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST;502;382;0.7609562;308;0.8062827;382;1.0;288;0.7539267;231;214;0.9264069;172;0.8037383;214;1;166;0.7757009;221;164;0.7420814;164;1;164;1;129;0.7865854;10;8;0.8;8;1;8;1;6;0.75;271;168;0.6199262;136;0.8095238;168;1;122;0.7261905;257;*;*;*;*;*;*;*;*;14;*;*;*;*;*;*;*;*;2018/19
NT402;BMI - BATH CLINIC;242;154;0.6363636;146;0.9480519;154;1.0;121;0.7857143;120;80;0.6666667;76;0.95;80;1;58;0.725;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;122;74;0.6065574;70;0.9459459;74;1;63;0.8513514;*;70;0.5982906;*;1;70;1;62;0.8857143;*;0;*;0;0;0;0;0;0;2016/17
NT402;BMI - BATH CLINIC;299;327;10.936.455;260;0.795107;325;0.9938838;228;0.7015385;161;171;10.621.118;139;0.8128655;170;0.994152;128;0.7529412;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;138;156;11.304.348;121;0.775641;155;0.9935897;100;0.6451613;*;121;0.8897059;*;1;121;1;88;0.7272727;*;0;*;0;0;0;0;0;0;2017/18
