Organisation Code,Organisation Name,All Procedures - Total HES Procedures,All Procedures - Total Pre-Op Qs,All Procedures - Participation Rate,All Procedures - Total Linked,All Procedures - Linkage rate,All Procedures - Total Q2s sent to date,All Procedures - Issue rate,All Procedures - Total Q2s returned to date,All Procedures - Response rate,Hip Replacement - Total HES Procedures,Hip Replacement - Total Pre-Op Qs,Hip Replacement - Participation Rate,Hip Replacement - Total Linked,Hip Replacement - Linkage rate,Hip Replacement - Total Q2s sent to date,Hip Replacement - Issue rate,Hip Replacement - Total Q2s returned to date,Hip Replacement - Response rate,Primary Hip Replacement - Total HES Procedures,Primary Hip Replacement - Total Pre-Op Qs,Primary Hip Replacement - Participation Rate,Primary Hip Replacement - Total Linked,Primary Hip Replacement - Linkage rate,Primary Hip Replacement - Total Q2s sent to date,Primary Hip Replacement - Issue rate,Primary Hip Replacement - Total Q2s returned to date,Primary Hip Replacement - Response rate,Revision Hip Replacement - Total HES Procedures,Revision Hip Replacement - Total Pre-Op Qs,Revision Hip Replacement - Participation Rate,Revision Hip Replacement - Total Linked,Revision Hip Replacement - Linkage rate,Revision Hip Replacement - Total Q2s sent to date,Revision Hip Replacement - Issue rate,Revision Hip Replacement - Total Q2s returned to date,Revision Hip Replacement - Response rate,Knee Replacement - Total HES Procedures,Knee Replacement - Total Pre-Op Qs,Knee Replacement - Participation Rate,Knee Replacement - Total Linked,Knee Replacement - Linkage rate,Knee Replacement - Total Q2s sent to date,Knee Replacement - Issue rate,Knee Replacement - Total Q2s returned to date,Knee Replacement - Response rate,Primary Knee Replacement - Total HES Procedures,Primary Knee Replacement - Total Pre-Op Qs,Primary Knee Replacement - Participation Rate,Primary Knee Replacement - Total Linked,Primary Knee Replacement - Linkage rate,Primary Knee Replacement - Total Q2s sent to date,Primary Knee Replacement - Issue rate,Primary Knee Replacement - Total Q2s returned to date,Primary Knee Replacement - Response rate,Revision Knee Replacement - Total HES Procedures,Revision Knee Replacement - Total Pre-Op Qs,Revision Knee Replacement - Participation Rate,Revision Knee Replacement - Total Linked,Revision Knee Replacement - Linkage rate,Revision Knee Replacement - Total Q2s sent to date,Revision Knee Replacement - Issue rate,Revision Knee Replacement - Total Q2s returned to date,Revision Knee Replacement - Response rate
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",654,661,1.0107034,417,0.6308623,606,0.9167927,419,0.6914191,272,231,0.8492647,157,0.6796537,215,0.9307359,152,0.7069767,248,151,0.608871,151,1,145,0.9602649,108,0.7448276,24,6,0.25,6,1,6,1,5,0.8333333,382,430,1.1256545,260,0.6046512,391,0.9093023,267,0.6828645,366,*,*,*,*,*,*,*,*,16,*,*,*,*,*,*,*,*
NTP13,BARLBOROUGH NHS TREATMENT CENTRE,1467,1987,1.3544649,1576,0.7931555,1983,0.9979869,1702,0.8582955,661,852,1.2889561,709,0.8321596,850,0.9976526,742,0.8729412,648,697,1.0756173,697,1,697,1,617,0.8852224,13,12,0.9230769,12,1,12,1,10,0.8333333,806,1135,1.4081886,867,0.7638767,1133,0.9982379,960,0.847308,790,848,1.0734177,848,1,848,1,735,0.8667453,16,19,1.1875,19,1,19,1,15,0.7894737
RVL,BARNET AND CHASE FARM HOSPITALS NHS TRUST,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,637,566,0.88854,511,0.9028269,564,0.9964664,457,0.8102837,222,202,0.9099099,181,0.8960396,201,0.9950495,158,0.7860697,207,169,0.8164251,169,1,168,0.9940828,139,0.827381,15,12,0.8,12,1,12,1,8,0.6666667,415,364,0.8771084,330,0.9065934,363,0.9972527,299,0.8236915,392,319,0.8137755,319,1,318,0.9968652,264,0.8301887,23,11,0.4782609,11,1,11,1,10,0.9090909
R1H,BARTS HEALTH NHS TRUST,1082,1012,0.935305,831,0.8211462,1007,0.9950593,615,0.6107249,424,375,0.884434,309,0.824,371,0.9893333,225,0.606469,380,287,0.7552632,287,1,286,0.9965157,189,0.6608392,44,22,0.5,22,1,22,1,11,0.5,658,637,0.9680851,522,0.8194662,636,0.9984301,390,0.6132075,602,488,0.8106312,488,1,488,1,322,0.6598361,56,34,0.6071429,34,1,34,1,20,0.5882353
RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,476,504,1.0588235,386,0.765873,504,1,345,0.6845238,182,196,1.0769231,152,0.7755102,196,1,139,0.7091837,174,145,0.8333333,145,1,145,1,122,0.8413793,8,7,0.875,7,1,7,1,4,0.5714286,294,308,1.047619,234,0.7597403,308,1,206,0.6688312,273,221,0.8095238,221,1,221,1,174,0.7873303,21,13,0.6190476,13,1,13,1,7,0.5384615
RC1,BEDFORD HOSPITAL NHS TRUST,427,366,0.8571429,273,0.7459016,364,0.9945355,274,0.7527473,196,169,0.8622449,125,0.739645,168,0.9940828,126,0.75,185,*,*,*,*,*,*,*,*,11,*,*,*,*,*,*,*,*,231,197,0.8528139,148,0.751269,196,0.9949239,148,0.755102,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NWF01,BENENDEN HOSPITAL,505,341,0.6752475,262,0.7683284,341,1,286,0.8387097,218,126,0.5779817,101,0.8015873,126,1,103,0.8174603,218,101,0.4633028,101,1,101,1,91,0.9009901,0,0,0,0,0,0,0,0,0,287,215,0.7491289,161,0.7488372,215,1,183,0.8511628,287,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*
NWX11,BICS-COMMUNITY,416,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0,*,0,*,0,0,0,0,0,0
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,553,299,0.5406872,225,0.7525084,283,0.9464883,229,0.8091873,262,138,0.5267176,103,0.7463768,132,0.9565217,107,0.8106061,253,*,*,*,*,*,*,*,*,9,*,*,*,*,*,*,*,*,291,161,0.5532646,122,0.757764,151,0.9378882,122,0.807947,280,*,*,*,*,*,*,*,*,11,*,*,*,*,*,*,*,*
NT402,BMI - BATH CLINIC,242,154,0.6363636,146,0.9480519,154,1,121,0.7857143,120,80,0.6666667,76,0.95,80,1,58,0.725,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,122,74,0.6065574,70,0.9459459,74,1,63,0.8513514,*,70,0.5982906,*,1,70,1,62,0.8857143,*,0,*,0,0,0,0,0,0
NT405,BMI - BISHOPS WOOD,99,65,0.6565657,55,0.8461538,65,1,56,0.8615385,49,33,0.6734694,29,0.8787879,33,1,29,0.8787879,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,50,32,0.64,26,0.8125,32,1,27,0.84375,50,26,0.52,26,1,26,1,22,0.8461538,0,0,0,0,0,0,0,0,0
NT409,BMI - CHELSFIELD PARK HOSPITAL,55,21,0.3818182,19,0.9047619,20,0.952381,17,0.85,26,11,0.4230769,11,1,11,1,8,0.7272727,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*,0,*,29,10,0.3448276,8,0.8,9,0.9,9,1,*,8,0.2962963,*,1,7,0.875,7,1,*,0,*,0,0,0,0,0,0
NT414,BMI - FAWKHAM MANOR HOSPITAL,79,57,0.721519,54,0.9473684,57,1,46,0.8070175,31,24,0.7741935,24,1,24,1,20,0.8333333,31,24,0.7741935,24,1,24,1,20,0.8333333,0,0,0,0,0,0,0,0,0,48,33,0.6875,30,0.9090909,33,1,26,0.7878788,48,30,0.625,30,1,30,1,24,0.8,0,0,0,0,0,0,0,0,0
NT417,BMI - GORING HALL HOSPITAL,713,630,0.8835905,546,0.8666667,629,0.9984127,522,0.8298887,329,274,0.8328267,249,0.9087591,273,0.9963504,225,0.8241758,305,234,0.7672131,234,1,233,0.9957265,199,0.8540773,24,15,0.625,15,1,15,1,12,0.8,384,356,0.9270833,297,0.8342697,356,1,297,0.8342697,366,287,0.784153,287,1,287,1,254,0.8850174,18,10,0.5555556,10,1,10,1,10,1
NT416,BMI - HENDON HOSPITAL,21,40,1.9047619,21,0.525,40,1,27,0.675,8,14,1.75,9,0.6428571,14,1,7,0.5,8,9,1.125,9,1,9,1,6,0.6666667,0,0,0,0,0,0,0,0,0,13,26,2,12,0.4615385,26,1,20,0.7692308,13,12,0.9230769,12,1,12,1,9,0.75,0,0,0,0,0,0,0,0,0
NT433,BMI - SARUM ROAD HOSPITAL,126,119,0.9444444,97,0.8151261,118,0.9915966,107,0.9067797,71,61,0.8591549,52,0.852459,60,0.9836066,54,0.9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,55,58,1.0545455,45,0.7758621,58,1,53,0.9137931,55,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*
NT436,BMI - SHIRLEY OAKS HOSPITAL,52,31,0.5961538,13,0.4193548,31,1,18,0.5806452,27,6,0.2222222,5,0.8333333,6,1,4,0.6666667,27,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,25,25,1,8,0.32,25,1,14,0.56,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT401,BMI - THE ALEXANDRA HOSPITAL,498,364,0.7309237,322,0.8846154,361,0.9917582,291,0.8060942,244,179,0.7336066,166,0.9273743,177,0.9888268,150,0.8474576,*,166,*,166,1,165,0.9939759,142,0.8606061,*,0,*,0,0,0,0,0,0,254,185,0.7283465,156,0.8432432,184,0.9945946,141,0.7663043,*,*,*,*,*,*,*,*,0.8169935,*,*,*,*,*,*,*,0,*
NT403,BMI - THE BEARDWOOD HOSPITAL,231,215,0.9307359,197,0.9162791,214,0.9953488,176,0.8224299,110,100,0.9090909,93,0.93,100,1,80,0.8,110,93,0.8454545,93,1,93,1,74,0.7956989,0,0,0,0,0,0,0,0,0,121,115,0.9504132,104,0.9043478,114,0.9913043,96,0.8421053,*,104,0.8666667,*,1,104,1,88,0.8461538,*,0,*,0,0,0,0,0,0
NT404,BMI - THE BEAUMONT HOSPITAL,241,240,0.9958506,205,0.8541667,239,0.9958333,174,0.7280335,93,91,0.9784946,84,0.9230769,90,0.989011,64,0.7111111,93,84,0.9032258,84,1,84,1,61,0.7261905,0,0,0,0,0,0,0,0,0,148,149,1.0067568,121,0.8120805,149,1,110,0.738255,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT406,BMI - THE BLACKHEATH HOSPITAL,57,49,0.8596491,36,0.7346939,49,1,35,0.7142857,32,22,0.6875,18,0.8181818,22,1,17,0.7727273,32,18,0.5625,18,1,18,1,14,0.7777778,0,0,0,0,0,0,0,0,0,25,27,1.08,18,0.6666667,27,1,18,0.6666667,25,18,0.72,18,1,18,1,12,0.6666667,0,0,0,0,0,0,0,0,0
NT408,BMI - THE CHAUCER HOSPITAL,43,39,0.9069767,36,0.9230769,38,0.974359,31,0.8157895,27,24,0.8888889,22,0.9166667,23,0.9583333,20,0.8695652,27,22,0.8148148,22,1,22,1,20,0.9090909,0,0,0,0,0,0,0,0,0,16,15,0.9375,14,0.9333333,15,1,11,0.7333333,16,14,0.875,14,1,14,1,11,0.7857143,0,0,0,0,0,0,0,0,0
NT410,BMI - THE CHILTERN HOSPITAL,179,187,1.0446927,161,0.8609626,186,0.9946524,155,0.8333333,90,87,0.9666667,76,0.8735632,86,0.9885057,73,0.8488372,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,89,100,1.1235955,85,0.85,100,1,82,0.82,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT411,BMI - THE CLEMENTINE CHURCHILL HOSPITAL,203,117,0.5763547,102,0.8717949,117,1,79,0.6752137,50,32,0.64,27,0.84375,32,1,20,0.625,50,27,0.54,27,1,27,1,18,0.6666667,0,0,0,0,0,0,0,0,0,153,85,0.5555556,75,0.8823529,85,1,59,0.6941176,*,75,0.4966887,*,1,75,1,53,0.7066667,*,0,*,0,0,0,0,0,0
NT412,BMI - THE DROITWICH SPA HOSPITAL,434,386,0.8894009,311,0.8056995,385,0.9974093,313,0.812987,192,168,0.875,133,0.7916667,167,0.9940476,137,0.8203593,192,133,0.6927083,133,1,133,1,112,0.8421053,0,0,0,0,0,0,0,0,0,242,218,0.9008264,178,0.8165138,218,1,176,0.8073394,236,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*
NT413,BMI - THE ESPERANCE HOSPITAL,138,166,1.2028986,130,0.7831325,166,1,134,0.8072289,68,82,1.2058824,63,0.7682927,82,1,72,0.8780488,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,70,84,1.2,67,0.797619,84,1,62,0.7380952,70,67,0.9571429,67,1,67,1,54,0.8059701,0,0,0,0,0,0,0,0,0
NT418,BMI - THE HAMPSHIRE CLINIC,122,136,1.1147541,117,0.8602941,135,0.9926471,113,0.837037,60,67,1.1166667,60,0.8955224,66,0.9850746,55,0.8333333,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,62,69,1.1129032,57,0.826087,69,1,58,0.8405797,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT419,BMI - THE HARBOUR HOSPITAL,94,75,0.7978723,59,0.7866667,75,1,64,0.8533333,33,23,0.6969697,20,0.8695652,23,1,18,0.7826087,33,20,0.6060606,20,1,20,1,18,0.9,0,0,0,0,0,0,0,0,0,61,52,0.852459,39,0.75,52,1,46,0.8846154,61,39,0.6393443,39,1,39,1,35,0.8974359,0,0,0,0,0,0,0,0,0
NT420,BMI - THE HIGHFIELD HOSPITAL,499,220,0.4408818,186,0.8454545,220,1,166,0.7545455,212,95,0.4481132,84,0.8842105,95,1,74,0.7789474,212,84,0.3962264,84,1,84,1,67,0.797619,0,0,0,0,0,0,0,0,0,287,125,0.4355401,102,0.816,125,1,92,0.736,*,102,0.3578947,*,1,102,1,78,0.7647059,*,0,*,0,0,0,0,0,0
NT421,BMI - THE KINGS OAK HOSPITAL,127,93,0.7322835,72,0.7741935,93,1,72,0.7741935,61,41,0.6721311,33,0.804878,41,1,33,0.804878,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,66,52,0.7878788,39,0.75,52,1,39,0.75,*,39,0.6,*,1,39,1,30,0.7692308,*,0,*,0,0,0,0,0,0
NT422,BMI - THE LONDON INDEPENDENT HOSPITAL,66,53,0.8030303,39,0.7358491,53,1,31,0.5849057,28,18,0.6428571,15,0.8333333,18,1,13,0.7222222,28,15,0.5357143,15,1,15,1,11,0.7333333,0,0,0,0,0,0,0,0,0,38,35,0.9210526,24,0.6857143,35,1,18,0.5142857,*,*,*,*,*,*,*,*,0.6521739,*,*,*,*,*,*,*,0,*
NT423,BMI - THE MANOR HOSPITAL,126,140,1.1111111,124,0.8857143,140,1,114,0.8142857,66,77,1.1666667,67,0.8701299,77,1,62,0.8051948,66,67,1.0151515,67,1,67,1,56,0.8358209,0,0,0,0,0,0,0,0,0,60,63,1.05,57,0.9047619,63,1,52,0.8253968,60,57,0.95,57,1,57,1,48,0.8421053,0,0,0,0,0,0,0,0,0
NT424,BMI - THE MERIDEN HOSPITAL,366,337,0.920765,291,0.8635015,336,0.9970326,254,0.7559524,144,132,0.9166667,122,0.9242424,132,1,104,0.7878788,136,116,0.8529412,116,1,116,1,94,0.8103448,8,6,0.75,6,1,6,1,3,0.5,222,205,0.9234234,169,0.8243902,204,0.995122,150,0.7352941,211,*,*,*,*,*,*,*,*,11,*,*,*,*,*,*,*,*
NT427,BMI - THE PARK HOSPITAL,264,233,0.8825758,197,0.8454936,232,0.9957082,195,0.8405172,98,92,0.9387755,81,0.8804348,91,0.9891304,74,0.8131868,98,81,0.8265306,81,1,81,1,67,0.8271605,0,0,0,0,0,0,0,0,0,166,141,0.8493976,116,0.822695,141,1,121,0.858156,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT428,BMI - THE PRINCESS MARGARET HOSPITAL,43,40,0.9302326,29,0.725,40,1,31,0.775,17,14,0.8235294,11,0.7857143,14,1,11,0.7857143,17,11,0.6470588,11,1,11,1,9,0.8181818,0,0,0,0,0,0,0,0,0,26,26,1,18,0.6923077,26,1,20,0.7692308,26,18,0.6923077,18,1,18,1,15,0.8333333,0,0,0,0,0,0,0,0,0
NT429,BMI - THE PRIORY HOSPITAL,139,48,0.3453237,39,0.8125,48,1,41,0.8541667,90,30,0.3333333,27,0.9,30,1,28,0.9333333,*,27,*,27,1,27,1,25,0.9259259,*,0,*,0,0,0,0,0,0,49,18,0.3673469,12,0.6666667,18,1,13,0.7222222,*,12,0.25,*,1,12,1,10,0.8333333,*,0,*,0,0,0,0,0,0
NT430,BMI - THE RIDGEWAY HOSPITAL,241,312,1.2946058,215,0.6891026,312,1,256,0.8205128,130,135,1.0384615,121,0.8962963,135,1,104,0.7703704,*,121,*,121,1,121,1,98,0.8099174,*,0,*,0,0,0,0,0,0,111,177,1.5945946,94,0.5310734,177,1,152,0.8587571,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT431,BMI - THE RUNNYMEDE HOSPITAL,88,87,0.9886364,78,0.8965517,87,1,73,0.8390805,37,43,1.1621622,39,0.9069767,43,1,32,0.744186,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,51,44,0.8627451,39,0.8863636,44,1,41,0.9318182,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT432,BMI - THE SANDRINGHAM HOSPITAL,174,225,1.2931034,168,0.7466667,223,0.9911111,185,0.8295964,102,109,1.0686275,96,0.8807339,109,1,89,0.8165138,102,96,0.9411765,96,1,96,1,83,0.8645833,0,0,0,0,0,0,0,0,0,72,116,1.6111111,72,0.6206897,114,0.9827586,96,0.8421053,72,72,1,72,1,72,1,64,0.8888889,0,0,0,0,0,0,0,0,0
NT434,BMI - THE SAXON CLINIC,75,122,1.6266667,72,0.5901639,122,1,92,0.7540984,34,47,1.3823529,36,0.7659574,47,1,37,0.787234,34,36,1.0588235,36,1,36,1,29,0.8055556,0,0,0,0,0,0,0,0,0,41,75,1.8292683,36,0.48,75,1,55,0.7333333,41,36,0.8780488,36,1,36,1,30,0.8333333,0,0,0,0,0,0,0,0,0
NT435,BMI - THE SHELBURNE HOSPITAL,102,102,1,92,0.9019608,101,0.9901961,73,0.7227723,43,45,1.0465116,39,0.8666667,44,0.9777778,29,0.6590909,*,*,*,*,*,*,*,26,*,*,*,*,*,*,*,*,0,*,59,57,0.9661017,53,0.9298246,57,1,44,0.7719298,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT437,BMI - THE SLOANE HOSPITAL,30,28,0.9333333,26,0.9285714,27,0.9642857,19,0.7037037,14,13,0.9285714,13,1,13,1,8,0.6153846,14,13,0.9285714,13,1,13,1,8,0.6153846,0,0,0,0,0,0,0,0,0,16,15,0.9375,13,0.8666667,14,0.9333333,11,0.7857143,*,13,0.8666667,*,1,13,1,11,0.8461538,*,0,*,0,0,0,0,0,0
NT438,BMI - THE SOMERFIELD HOSPITAL,157,319,2.0318471,186,0.5830721,319,1,224,0.7021944,76,136,1.7894737,87,0.6397059,136,1,94,0.6911765,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,81,183,2.2592593,99,0.5409836,183,1,130,0.7103825,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT439,BMI - THE SOUTH CHESHIRE PRIVATE HOSPITAL,116,152,1.3103448,108,0.7105263,152,1,122,0.8026316,44,44,1,39,0.8863636,44,1,37,0.8409091,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,72,108,1.5,69,0.6388889,108,1,85,0.787037,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT443,BMI - THE WINTERBOURNE HOSPITAL,312,132,0.4230769,78,0.5909091,132,1,101,0.7651515,157,50,0.3184713,43,0.86,50,1,44,0.88,157,43,0.2738854,43,1,43,1,39,0.9069767,0,0,0,0,0,0,0,0,0,155,82,0.5290323,35,0.4268293,82,1,57,0.695122,155,35,0.2258065,35,1,35,1,31,0.8857143,0,0,0,0,0,0,0,0,0
NT440,BMI - THORNBURY HOSPITAL,117,323,2.7606838,260,0.8049536,322,0.996904,254,0.7888199,69,166,2.4057971,157,0.9457831,166,1,129,0.7771084,*,149,*,149,1,149,1,122,0.8187919,*,8,*,8,1,8,1,4,0.5,48,157,3.2708333,103,0.656051,156,0.9936306,125,0.8012821,*,96,2.1333333,*,1,96,1,82,0.8541667,*,7,*,7,1,7,1,5,0.7142857
NT441,BMI - THREE SHIRES HOSPITAL,466,429,0.9206009,365,0.8508159,428,0.997669,356,0.8317757,205,188,0.9170732,166,0.8829787,188,1,156,0.8297872,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,261,241,0.9233716,199,0.8257261,240,0.9958506,200,0.8333333,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT497,BMI GISBURNE PARK HOSPITAL,164,168,1.0243902,135,0.8035714,167,0.9940476,139,0.8323353,62,66,1.0645161,56,0.8484848,66,1,56,0.8484848,62,56,0.9032258,56,1,56,1,50,0.8928571,0,0,0,0,0,0,0,0,0,102,102,1,79,0.7745098,101,0.9901961,83,0.8217822,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
