Organisation Code,Organisation Name,All Procedures - Total HES Procedures,All Procedures - Total Pre-Op Qs,All Procedures - Participation Rate,All Procedures - Total Linked,All Procedures - Linkage rate,All Procedures - Total Q2s sent to date,All Procedures - Issue rate,All Procedures - Total Q2s returned to date,All Procedures - Response rate,Hip Replacement - Total HES Procedures,Hip Replacement - Total Pre-Op Qs,Hip Replacement - Participation Rate,Hip Replacement - Total Linked,Hip Replacement - Linkage rate,Hip Replacement - Total Q2s sent to date,Hip Replacement - Issue rate,Hip Replacement - Total Q2s returned to date,Hip Replacement - Response rate,Primary Hip Replacement - Total HES Procedures,Primary Hip Replacement - Total Pre-Op Qs,Primary Hip Replacement - Participation Rate,Primary Hip Replacement - Total Linked,Primary Hip Replacement - Linkage rate,Primary Hip Replacement - Total Q2s sent to date,Primary Hip Replacement - Issue rate,Primary Hip Replacement - Total Q2s returned to date,Primary Hip Replacement - Response rate,Revision Hip Replacement - Total HES Procedures,Revision Hip Replacement - Total Pre-Op Qs,Revision Hip Replacement - Participation Rate,Revision Hip Replacement - Total Linked,Revision Hip Replacement - Linkage rate,Revision Hip Replacement - Total Q2s sent to date,Revision Hip Replacement - Issue rate,Revision Hip Replacement - Total Q2s returned to date,Revision Hip Replacement - Response rate,Knee Replacement - Total HES Procedures,Knee Replacement - Total Pre-Op Qs,Knee Replacement - Participation Rate,Knee Replacement - Total Linked,Knee Replacement - Linkage rate,Knee Replacement - Total Q2s sent to date,Knee Replacement - Issue rate,Knee Replacement - Total Q2s returned to date,Knee Replacement - Response rate,Primary Knee Replacement - Total HES Procedures,Primary Knee Replacement - Total Pre-Op Qs,Primary Knee Replacement - Participation Rate,Primary Knee Replacement - Total Linked,Primary Knee Replacement - Linkage rate,Primary Knee Replacement - Total Q2s sent to date,Primary Knee Replacement - Issue rate,Primary Knee Replacement - Total Q2s returned to date,Primary Knee Replacement - Response rate,Revision Knee Replacement - Total HES Procedures,Revision Knee Replacement - Total Pre-Op Qs,Revision Knee Replacement - Participation Rate,Revision Knee Replacement - Total Linked,Revision Knee Replacement - Linkage rate,Revision Knee Replacement - Total Q2s sent to date,Revision Knee Replacement - Issue rate,Revision Knee Replacement - Total Q2s returned to date,Revision Knee Replacement - Response rate
NTP13,BARLBOROUGH NHS TREATMENT CENTRE,1187,1744,1.4692502,1267,0.7264908,1741,0.9982798,1335,0.7668007,562,792,1.4092527,586,0.739899,791,0.9987374,613,0.7749684,539,563,1.0445269,563,1,563,1,470,0.8348135,23,23,1,23,1,23,1,15,0.6521739,625,952,1.5232,681,0.7153361,950,0.9978992,722,0.76,610,660,1.0819672,660,1,660,1,544,0.8242424,15,21,1.4,21,1,21,1,13,0.6190476
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,533,292,0.5478424,250,0.8561644,291,0.9965753,217,0.7457045,228,120,0.5263158,102,0.85,120,1,87,0.725,205,95,0.4634146,95,1,95,1,74,0.7789474,23,7,0.3043478,7,1,7,1,6,0.8571429,305,172,0.5639344,148,0.8604651,171,0.994186,130,0.7602339,290,*,*,*,*,*,*,*,*,15,*,*,*,*,*,*,*,*
R1H,BARTS HEALTH NHS TRUST,982,982,1,741,0.7545825,944,0.9613035,488,0.5169492,369,361,0.9783198,270,0.7479224,349,0.966759,192,0.5501433,332,251,0.7560241,251,1,249,0.9920319,161,0.6465863,37,19,0.5135135,19,1,18,0.9473684,8,0.4444444,613,621,1.0130506,471,0.7584541,595,0.958132,296,0.497479,570,446,0.7824561,446,1,444,0.9955157,252,0.5675676,43,25,0.5813953,25,1,25,1,14,0.56
RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,555,485,0.8738739,378,0.7793814,482,0.9938144,310,0.6431535,253,225,0.8893281,173,0.7688889,224,0.9955556,144,0.6428571,227,164,0.722467,164,1,163,0.9939024,120,0.7361963,26,9,0.3461538,9,1,9,1,5,0.5555556,302,260,0.8609272,205,0.7884615,258,0.9923077,166,0.6434109,279,194,0.6953405,194,1,193,0.9948454,144,0.746114,23,11,0.4782609,11,1,11,1,8,0.7272727
RC1,BEDFORD HOSPITAL NHS TRUST,392,233,0.5943878,171,0.7339056,231,0.9914163,161,0.6969697,199,121,0.6080402,93,0.768595,121,1,90,0.7438017,188,*,*,*,*,*,*,*,*,11,*,*,*,*,*,*,*,*,193,112,0.5803109,78,0.6964286,110,0.9821429,71,0.6454545,183,*,*,*,*,*,*,*,*,10,*,*,*,*,*,*,*,*
NWF01,BENENDEN HOSPITAL,450,223,0.4955556,195,0.8744395,223,1,163,0.7309417,170,93,0.5470588,77,0.827957,93,1,71,0.7634409,170,77,0.4529412,77,1,77,1,62,0.8051948,0,0,0,0,0,0,0,0,0,280,130,0.4642857,118,0.9076923,130,1,92,0.7076923,*,118,0.4259928,*,1,118,1,87,0.7372881,*,0,*,0,0,0,0,0,0
NWX11,BICS-COMMUNITY,343,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0,*,0,*,0,0,0,0,0,0
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,502,382,0.7609562,308,0.8062827,382,1,288,0.7539267,231,214,0.9264069,172,0.8037383,214,1,166,0.7757009,221,164,0.7420814,164,1,164,1,129,0.7865854,10,8,0.8,8,1,8,1,6,0.75,271,168,0.6199262,136,0.8095238,168,1,122,0.7261905,257,*,*,*,*,*,*,*,*,14,*,*,*,*,*,*,*,*
NT402,BMI - BATH CLINIC,262,265,1.0114504,225,0.8490566,265,1,186,0.7018868,130,139,1.0692308,114,0.8201439,139,1,98,0.705036,130,114,0.8769231,114,1,114,1,87,0.7631579,0,0,0,0,0,0,0,0,0,132,126,0.9545455,111,0.8809524,126,1,88,0.6984127,*,111,0.8473282,*,1,111,1,84,0.7567568,*,0,*,0,0,0,0,0,0
NT405,BMI - BISHOPS WOOD,85,47,0.5529412,41,0.8723404,47,1,39,0.8297872,36,18,0.5,17,0.9444444,18,1,17,0.9444444,*,17,*,17,1,17,1,17,1,*,0,*,0,0,0,0,0,0,49,29,0.5918367,24,0.8275862,29,1,22,0.7586207,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT409,BMI - CHELSFIELD PARK HOSPITAL,121,40,0.3305785,38,0.95,40,1,34,0.85,59,20,0.3389831,20,1,20,1,16,0.8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,62,20,0.3225806,18,0.9,20,1,18,0.9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT414,BMI - FAWKHAM MANOR HOSPITAL,26,20,0.7692308,20,1,20,1,14,0.7,13,9,0.6923077,9,1,9,1,7,0.7777778,13,9,0.6923077,9,1,9,1,7,0.7777778,0,0,0,0,0,0,0,0,0,13,11,0.8461538,11,1,11,1,7,0.6363636,13,11,0.8461538,11,1,11,1,7,0.6363636,0,0,0,0,0,0,0,0,0
NT417,BMI - GORING HALL HOSPITAL,333,290,0.8708709,259,0.8931034,290,1,213,0.7344828,140,132,0.9428571,112,0.8484848,132,1,94,0.7121212,131,105,0.8015267,105,1,105,1,82,0.7809524,9,7,0.7777778,7,1,7,1,6,0.8571429,193,158,0.8186528,147,0.9303797,158,1,119,0.7531646,173,136,0.7861272,136,1,136,1,105,0.7720588,20,11,0.55,11,1,11,1,8,0.7272727
NT416,BMI - HENDON HOSPITAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0,*,0,*,0,0,0,0,0,0
NT433,BMI - SARUM ROAD HOSPITAL,181,48,0.2651934,41,0.8541667,48,1,36,0.75,88,21,0.2386364,18,0.8571429,21,1,16,0.7619048,88,18,0.2045455,18,1,18,1,15,0.8333333,0,0,0,0,0,0,0,0,0,93,27,0.2903226,23,0.8518519,27,1,20,0.7407407,*,23,0.25,*,1,23,1,19,0.826087,*,0,*,0,0,0,0,0,0
NT436,BMI - SHIRLEY OAKS HOSPITAL,78,48,0.6153846,26,0.5416667,48,1,34,0.7083333,38,25,0.6578947,14,0.56,25,1,19,0.76,*,14,*,14,1,14,1,11,0.7857143,*,0,*,0,0,0,0,0,0,40,23,0.575,12,0.5217391,23,1,15,0.6521739,*,12,0.3076923,*,1,12,1,12,1,*,0,*,0,0,0,0,0,0
NT401,BMI - THE ALEXANDRA HOSPITAL,568,468,0.8239437,415,0.8867521,466,0.9957265,339,0.7274678,253,213,0.8418972,190,0.8920188,212,0.9953052,154,0.7264151,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,315,255,0.8095238,225,0.8823529,254,0.9960784,185,0.7283465,309,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*
NT403,BMI - THE BEARDWOOD HOSPITAL,335,276,0.8238806,258,0.9347826,273,0.9891304,211,0.7728938,141,123,0.8723404,114,0.9268293,123,1,98,0.796748,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,194,153,0.7886598,144,0.9411765,150,0.9803922,113,0.7533333,194,144,0.742268,144,1,142,0.9861111,109,0.7676056,0,0,0,0,0,0,0,0,0
NT404,BMI - THE BEAUMONT HOSPITAL,242,250,1.0330579,230,0.92,250,1,184,0.736,95,98,1.0315789,90,0.9183673,98,1,79,0.8061224,95,90,0.9473684,90,1,90,1,76,0.8444444,0,0,0,0,0,0,0,0,0,147,152,1.0340136,140,0.9210526,152,1,105,0.6907895,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT406,BMI - THE BLACKHEATH HOSPITAL,61,74,1.2131148,45,0.6081081,73,0.9864865,43,0.5890411,31,32,1.0322581,24,0.75,31,0.96875,17,0.5483871,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,30,42,1.4,21,0.5,42,1,26,0.6190476,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT408,BMI - THE CHAUCER HOSPITAL,97,61,0.628866,56,0.9180328,61,1,37,0.6065574,15,8,0.5333333,8,1,8,1,4,0.5,15,8,0.5333333,8,1,8,1,4,0.5,0,0,0,0,0,0,0,0,0,82,53,0.6463415,48,0.9056604,53,1,33,0.6226415,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT410,BMI - THE CHILTERN HOSPITAL,323,315,0.9752322,286,0.9079365,314,0.9968254,242,0.7707006,156,152,0.974359,137,0.9013158,152,1,118,0.7763158,156,137,0.8782051,137,1,137,1,107,0.7810219,0,0,0,0,0,0,0,0,0,167,163,0.9760479,149,0.9141104,162,0.993865,124,0.7654321,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT411,BMI - THE CLEMENTINE CHURCHILL HOSPITAL,168,51,0.3035714,45,0.8823529,50,0.9803922,28,0.56,39,18,0.4615385,16,0.8888889,18,1,11,0.6111111,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,129,33,0.255814,29,0.8787879,32,0.969697,17,0.53125,*,29,0.2265625,*,1,29,1,17,0.5862069,*,0,*,0,0,0,0,0,0
NT412,BMI - THE DROITWICH SPA HOSPITAL,258,211,0.8178295,194,0.9194313,210,0.9952607,170,0.8095238,130,109,0.8384615,102,0.9357798,108,0.9908257,93,0.8611111,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,128,102,0.796875,92,0.9019608,102,1,77,0.754902,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT413,BMI - THE ESPERANCE HOSPITAL,106,96,0.9056604,80,0.8333333,96,1,74,0.7708333,43,41,0.9534884,35,0.8536585,41,1,32,0.7804878,43,35,0.8139535,35,1,35,1,28,0.8,0,0,0,0,0,0,0,0,0,63,55,0.8730159,45,0.8181818,55,1,42,0.7636364,63,45,0.7142857,45,1,45,1,38,0.8444444,0,0,0,0,0,0,0,0,0
NT418,BMI - THE HAMPSHIRE CLINIC,133,121,0.9097744,112,0.9256198,120,0.9917355,99,0.825,73,70,0.9589041,65,0.9285714,70,1,61,0.8714286,73,65,0.890411,65,1,65,1,57,0.8769231,0,0,0,0,0,0,0,0,0,60,51,0.85,47,0.9215686,50,0.9803922,38,0.76,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT419,BMI - THE HARBOUR HOSPITAL,73,48,0.6575342,46,0.9583333,48,1,40,0.8333333,24,11,0.4583333,11,1,11,1,9,0.8181818,24,11,0.4583333,11,1,11,1,9,0.8181818,0,0,0,0,0,0,0,0,0,49,37,0.755102,35,0.9459459,37,1,31,0.8378378,49,35,0.7142857,35,1,35,1,31,0.8857143,0,0,0,0,0,0,0,0,0
NT420,BMI - THE HIGHFIELD HOSPITAL,508,341,0.6712598,224,0.6568915,339,0.9941349,241,0.7109145,230,133,0.5782609,93,0.6992481,132,0.9924812,96,0.7272727,230,93,0.4043478,93,1,93,1,71,0.7634409,0,0,0,0,0,0,0,0,0,278,208,0.7482014,131,0.6298077,207,0.9951923,145,0.7004831,*,*,*,*,*,*,*,*,0.7,*,*,*,*,*,*,*,0,*
NT421,BMI - THE KINGS OAK HOSPITAL,82,34,0.4146341,22,0.6470588,34,1,26,0.7647059,40,16,0.4,12,0.75,16,1,12,0.75,*,*,*,*,*,*,*,9,*,*,*,*,*,*,*,*,0,*,42,18,0.4285714,10,0.5555556,18,1,14,0.7777778,42,10,0.2380952,10,1,10,1,8,0.8,0,0,0,0,0,0,0,0,0
NT422,BMI - THE LONDON INDEPENDENT HOSPITAL,64,32,0.5,22,0.6875,32,1,18,0.5625,25,16,0.64,10,0.625,16,1,10,0.625,25,10,0.4,10,1,10,1,8,0.8,0,0,0,0,0,0,0,0,0,39,16,0.4102564,12,0.75,16,1,8,0.5,39,12,0.3076923,12,1,12,1,7,0.5833333,0,0,0,0,0,0,0,0,0
NT423,BMI - THE MANOR HOSPITAL,162,138,0.8518519,125,0.9057971,138,1,115,0.8333333,74,63,0.8513514,58,0.9206349,63,1,51,0.8095238,74,58,0.7837838,58,1,58,1,50,0.862069,0,0,0,0,0,0,0,0,0,88,75,0.8522727,67,0.8933333,75,1,64,0.8533333,88,67,0.7613636,67,1,67,1,63,0.9402985,0,0,0,0,0,0,0,0,0
NT424,BMI - THE MERIDEN HOSPITAL,372,358,0.9623656,324,0.9050279,358,1,264,0.7374302,171,159,0.9298246,148,0.9308176,159,1,116,0.7295597,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,201,199,0.9900498,176,0.8844221,199,1,148,0.7437186,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT427,BMI - THE PARK HOSPITAL,300,181,0.6033333,130,0.718232,180,0.9944751,129,0.7166667,97,57,0.5876289,39,0.6842105,57,1,40,0.7017544,97,39,0.4020619,39,1,39,1,30,0.7692308,0,0,0,0,0,0,0,0,0,203,124,0.6108374,91,0.733871,123,0.9919355,89,0.7235772,*,91,0.455,*,1,91,1,70,0.7692308,*,0,*,0,0,0,0,0,0
NT428,BMI - THE PRINCESS MARGARET HOSPITAL,32,10,0.3125,9,0.9,10,1,8,0.8,13,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,*,0,0,0,0,0,0,19,10,0.5263158,9,0.9,10,1,8,0.8,*,9,0.5,*,1,9,1,8,0.8888889,*,0,*,0,0,0,0,0,0
NT429,BMI - THE PRIORY HOSPITAL,121,93,0.768595,78,0.8387097,92,0.9892473,58,0.6304348,56,46,0.8214286,38,0.826087,45,0.9782609,27,0.6,56,38,0.6785714,38,1,37,0.9736842,24,0.6486486,0,0,0,0,0,0,0,0,0,65,47,0.7230769,40,0.8510638,47,1,31,0.6595745,65,40,0.6153846,40,1,40,1,28,0.7,0,0,0,0,0,0,0,0,0
NT430,BMI - THE RIDGEWAY HOSPITAL,209,221,1.0574163,197,0.8914027,221,1,180,0.8144796,110,117,1.0636364,104,0.8888889,117,1,102,0.8717949,110,104,0.9454545,104,1,104,1,94,0.9038462,0,0,0,0,0,0,0,0,0,99,104,1.0505051,93,0.8942308,104,1,78,0.75,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT431,BMI - THE RUNNYMEDE HOSPITAL,31,31,1,31,1,31,1,24,0.7741935,22,22,1,22,1,22,1,15,0.6818182,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,9,9,1,9,1,9,1,9,1,9,9,1,9,1,9,1,9,1,0,0,0,0,0,0,0,0,0
NT432,BMI - THE SANDRINGHAM HOSPITAL,245,369,1.5061224,218,0.5907859,367,0.9945799,259,0.7057221,122,179,1.4672131,109,0.6089385,177,0.9888268,133,0.7514124,122,109,0.8934426,109,1,109,1,93,0.853211,0,0,0,0,0,0,0,0,0,123,190,1.5447154,109,0.5736842,190,1,126,0.6631579,123,109,0.8861789,109,1,109,1,91,0.8348624,0,0,0,0,0,0,0,0,0
NT434,BMI - THE SAXON CLINIC,239,258,1.0794979,224,0.8682171,253,0.9806202,189,0.7470356,100,112,1.12,95,0.8482143,111,0.9910714,87,0.7837838,100,95,0.95,95,1,95,1,77,0.8105263,0,0,0,0,0,0,0,0,0,139,146,1.0503597,129,0.8835616,142,0.9726027,102,0.7183099,139,129,0.9280576,129,1,128,0.9922481,97,0.7578125,0,0,0,0,0,0,0,0,0
NT437,BMI - THE SLOANE HOSPITAL,69,60,0.8695652,54,0.9,60,1,44,0.7333333,30,27,0.9,26,0.962963,27,1,18,0.6666667,30,26,0.8666667,26,1,26,1,18,0.6923077,0,0,0,0,0,0,0,0,0,39,33,0.8461538,28,0.8484848,33,1,26,0.7878788,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT438,BMI - THE SOMERFIELD HOSPITAL,111,78,0.7027027,62,0.7948718,77,0.9871795,55,0.7142857,48,32,0.6666667,25,0.78125,31,0.96875,21,0.6774194,48,25,0.5208333,25,1,24,0.96,19,0.7916667,0,0,0,0,0,0,0,0,0,63,46,0.7301587,37,0.8043478,46,1,34,0.7391304,63,37,0.5873016,37,1,37,1,29,0.7837838,0,0,0,0,0,0,0,0,0
NT439,BMI - THE SOUTH CHESHIRE PRIVATE HOSPITAL,102,100,0.9803922,90,0.9,99,0.99,79,0.7979798,53,51,0.9622642,48,0.9411765,51,1,44,0.8627451,53,48,0.9056604,48,1,48,1,42,0.875,0,0,0,0,0,0,0,0,0,49,49,1,42,0.8571429,48,0.9795918,35,0.7291667,49,42,0.8571429,42,1,42,1,33,0.7857143,0,0,0,0,0,0,0,0,0
NT443,BMI - THE WINTERBOURNE HOSPITAL,236,207,0.8771186,188,0.9082126,204,0.9855072,164,0.8039216,117,98,0.8376068,90,0.9183673,96,0.9795918,81,0.84375,117,90,0.7692308,90,1,90,1,77,0.8555556,0,0,0,0,0,0,0,0,0,119,109,0.9159664,98,0.8990826,108,0.9908257,83,0.7685185,119,98,0.8235294,98,1,98,1,81,0.8265306,0,0,0,0,0,0,0,0,0
NT440,BMI - THORNBURY HOSPITAL,125,259,2.072,196,0.7567568,257,0.992278,181,0.7042802,72,147,2.0416667,99,0.6734694,145,0.9863946,106,0.7310345,64,*,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*,53,112,2.1132075,97,0.8660714,112,1,75,0.6696429,*,91,1.8571429,*,1,91,1,67,0.7362637,*,6,*,6,1,6,1,4,0.6666667
NT441,BMI - THREE SHIRES HOSPITAL,629,423,0.672496,379,0.8959811,421,0.9952719,332,0.7885986,269,178,0.66171,167,0.9382022,177,0.994382,148,0.8361582,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,360,245,0.6805556,212,0.8653061,244,0.9959184,184,0.7540984,341,206,0.6041056,206,1,206,1,165,0.8009709,19,6,0.3157895,6,1,6,1,4,0.6666667
NT497,BMI GISBURNE PARK HOSPITAL,28,19,0.6785714,14,0.7368421,19,1,11,0.5789474,8,6,0.75,2,0.3333333,6,1,2,0.3333333,8,*,*,*,*,*,*,0,*,0,0,0,0,0,0,0,0,0,20,13,0.65,12,0.9230769,13,1,9,0.6923077,20,12,0.6,12,1,12,1,9,0.75,0,0,0,0,0,0,0,0,0
NT455,BMI MOUNT ALVERNIA HOSPITAL,29,25,0.862069,15,0.6,25,1,15,0.6,9,10,1.1111111,6,0.6,10,1,7,0.7,9,6,0.6666667,6,1,6,1,5,0.8333333,0,0,0,0,0,0,0,0,0,20,15,0.75,9,0.6,15,1,8,0.5333333,20,9,0.45,9,1,9,1,7,0.7777778,0,0,0,0,0,0,0,0,0
NT446,BMI ST EDMUNDS HOSPITAL,369,322,0.8726287,298,0.9254658,320,0.9937888,265,0.828125,220,172,0.7818182,164,0.9534884,171,0.994186,143,0.8362573,220,164,0.7454545,164,1,163,0.9939024,139,0.8527607,0,0,0,0,0,0,0,0,0,149,150,1.0067114,134,0.8933333,149,0.9933333,122,0.8187919,149,134,0.8993289,134,1,133,0.9925373,114,0.8571429,0,0,0,0,0,0,0,0,0
